course_id,course_url,user_name,user_url,score,content
610,http://www.icourse163.org/course/HRBEU-1002932001,mooc1509461944210,www.icourse163.org/home.htm?userId=1032581840,3,完全是照着课本念 没有任何自己的观念和传授
610,http://www.icourse163.org/course/HRBEU-1002932001,mooc1535895619953,www.icourse163.org/home.htm?userId=1144666829,1,怎么都是是照着书念啊，这样的mooc真是浪费时间啊
610,http://www.icourse163.org/course/HRBEU-1002932001,小任性mooc17,www.icourse163.org/home.htm?userId=1027229687,1,讲的烂死了 根本就是念ppt 特别是那个女的 念的比那个男的还烂
610,http://www.icourse163.org/course/HRBEU-1002932001,mooc82786767238670204,www.icourse163.org/home.htm?userId=1389255591,1,咱也不敢问  咱也不敢说 可能是哈工大尿性 整个念ppt的老师 一点分析都没有  敝扫自珍吧
610,http://www.icourse163.org/course/HRBEU-1002932001,东北望射狮射猴射天狗1991,www.icourse163.org/home.htm?userId=1147611483,1,坑课，完全就是念PPT，老师很不谦虚见不得人家说他讲课不好粗暴删帖，实在不敢相信老师还自卖自夸给好评，拉一下低分防止大家浪费时间
610,http://www.icourse163.org/course/HRBEU-1002932001,zhxfaann,www.icourse163.org/home.htm?userId=1024483461,2,照读书本，毫无裨益
610,http://www.icourse163.org/course/HRBEU-1002932001,ytbiezi,www.icourse163.org/home.htm?userId=1138009170,1,就是照着ppt念啊
610,http://www.icourse163.org/course/HRBEU-1002932001,才美不外见,www.icourse163.org/home.htm?userId=1032637576,1,感觉就是把书念了一遍
610,http://www.icourse163.org/course/HRBEU-1002932001,mooc1488179915774,www.icourse163.org/home.htm?userId=1024522293,1,hape，念书也不会。劝你关课吧，不会教就不要教嗷
610,http://www.icourse163.org/course/HRBEU-1002932001,hrbeu2016040205冯志强,www.icourse163.org/home.htm?userId=1020919924,5,最喜欢的老师！贼幽默好玩，哈哈哈哈哈！
610,http://www.icourse163.org/course/HRBEU-1002932001,囚mooc12,www.icourse163.org/home.htm?userId=1022821309,1,这种垃圾也朝网上传，真的服了
610,http://www.icourse163.org/course/HRBEU-1002932001,4班58帅朗朋20164430,www.icourse163.org/home.htm?userId=1140256443,1,"完全读ppt,把书一字不漏的读一遍，只差标点符号没读出来，很失望，不知道怎么好意思把这门课放在这网。"
